# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl zum 1. Deutschen Bundestag (14. August 1949)
# Endgültige Ergebnisse der Stimmen nach Wahlkreisen
# 
Wahlkreis;;Land;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;CSU;KPD;Parteilose;BP;DP;Zentrum;WAV;DKP/DRP;RSF;SSW;EVD;RWVP;;;;;;;;;;;;;;;;;
Nr.;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Minden – Lübbecke;NW;170835;127489;6145;121344;50771;46222;7895;0;6271;6986;0;0;609;0;0;2406;0;0;184
111;Wattenscheid – Wanne-Eickel;NW;102340;84791;2443;82348;33737;28493;3808;0;11858;0;0;0;1580;0;763;1930;0;0;179
112;Herne – Castrop-Rauxel;NW;116931;98192;3263;94929;39538;32869;4701;0;11628;1712;0;0;1873;0;1421;986;0;0;201
113;Ennepe-Ruhr – Witten;NW;198971;165272;5030;160242;64966;38232;25981;0;17374;1256;0;0;2510;0;3657;5938;0;0;328
114;Hagen;NW;100482;80857;1716;79141;25555;25634;12424;0;11479;0;0;0;874;0;1234;1782;0;0;159
115;Dortmund I;NW;131741;105038;2769;102269;44369;29541;12362;0;10689;0;0;0;1962;0;2267;808;0;0;271
116;Dortmund II;NW;130212;101719;2635;99084;41043;30577;8723;0;13395;0;0;0;2863;0;1241;925;0;0;317
117;Dortmund III – Lünen;NW;124453;99439;2659;96780;43393;29445;7624;0;11669;0;0;0;1869;0;1517;1049;0;0;214
118;Bochum;NW;193940;160378;4039;156339;61062;49442;12091;0;16064;2706;0;0;3689;0;2289;8719;0;0;277
119;Iserlohn-Stadt und -Land;NW;136970;111636;2892;108744;37484;30541;11199;0;6047;3810;0;0;13897;0;1992;3551;0;0;223
120;Unna – Hamm;NW;159878;134956;5780;129176;54902;39177;12561;0;9763;0;0;0;9272;0;2727;586;0;0;188
121;Meschede – Olpe;NW;102498;88131;1645;86486;15924;48041;2590;0;1509;3692;0;0;13024;0;1321;272;0;0;113
122;Arnsberg – Soest;NW;138762;114515;2418;112097;26413;45637;6647;0;2679;6788;0;0;21741;0;1469;624;0;0;99
123;Lippstadt – Brilon;NW;106669;91102;1753;89349;15680;43518;6439;0;1927;8057;0;0;12783;0;742;203;0;0;0
124;Altena – Lüdenscheid;NW;132098;106293;2241;104052;38417;32672;14309;0;5814;2898;0;0;2570;0;1752;5457;0;0;163
125;Siegen-Stadt und -Land – Wittgenstein;NW;141525;111148;2099;109049;32233;41448;8391;0;3238;7966;0;0;1590;0;13776;276;0;0;131
905;Nordrhein-Westfalen;NW;8681794;6909719;183176;6726543;2109172;2481523;581456;0;513225;157155;0;0;601435;0;117998;142648;0;0;21931
;;;;;;;;;;;;;;;;;;;;;
126;Waldeck;HE;132967;103091;3356;99735;27422;13875;35103;0;4459;18876;0;0;0;0;0;0;0;0;0
127;Kassel ;HE;156506;128698;6594;122104;51624;13886;45379;0;11215;0;0;0;0;0;0;0;0;0;0
128;Eschwege;HE;120772;102362;4800;97562;34685;10420;29583;0;5170;17704;0;0;0;0;0;0;0;0;0
129;Fritzlar-Homberg;HE;131308;101740;3328;98412;28733;13349;34941;0;3363;18026;0;0;0;0;0;0;0;0;0
130;Hersfeld;HE;112514;93897;3537;90360;30565;16736;25582;0;2846;14631;0;0;0;0;0;0;0;0;0
131;Marburg;HE;126656;89334;2699;86635;22951;16549;31357;0;3210;12568;0;0;0;0;0;0;0;0;0
132;Wetzlar;HE;140121;98182;5284;92898;27430;15247;27710;0;5034;17477;0;0;0;0;0;0;0;0;0
