,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Gültige,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
94,085,Geldern  Kleve,94955.0,81464.0,2779.0,78685.0,47193.0,0,0,0,13669.0,0,0,0,2045.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157.0,0,0,0,0,0,0,0,13621.0,0,0,0
95,086,Rees  Dinslaken,96115.0,77444.0,1948.0,75496.0,26781.0,0,0,0,23353.0,0,0,0,6986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5651.0,0,0,0,0,0,0,0,12725.0,0,0,0
96,087,Oberhausen,128779.0,99335.0,2357.0,96978.0,28152.0,0,0,0,28084.0,0,0,0,4501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8405.0,0,0,0,0,0,0,0,27836.0,0,0,0
97,088,Mülheim,100993.0,77980.0,1957.0,76023.0,21441.0,0,0,0,26543.0,0,0,0,9975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7681.0,0,0,0,0,0,0,0,10383.0,0,0,0
98,089,Essen I,137569.0,103742.0,1679.0,102063.0,28172.0,0,0,0,35994.0,0,0,0,4803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13371.0,0,0,0,0,0,0,0,19723.0,0,0,0
99,090,Essen II,137601.0,102845.0,1990.0,100855.0,25198.0,0,0,0,39207.0,0,0,0,3898.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14142.0,0,0,0,0,0,0,0,18410.0,0,0,0
100,091,Essen III,139347.0,105456.0,1676.0,103780.0,33577.0,0,0,0,30146.0,0,0,0,12063.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6603.0,0,0,0,0,0,0,0,21391.0,0,0,0
101,092,Duisburg I,132141.0,104245.0,2143.0,102102.0,27432.0,0,0,0,40413.0,0,0,0,8280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13408.0,0,0,0,0,0,0,0,12569.0,0,0,0
102,093,Duisburg II,140779.0,106602.0,2046.0,104556.0,35303.0,0,0,0,38312.0,0,0,0,8949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11079.0,0,0,0,0,0,0,0,10913.0,0,0,0
103,094,Borken  Bocholt  Ahaus,119291.0,103924.0,2153.0,101771.0,42522.0,0,0,0,16494.0,0,0,0,2212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532.0,0,0,0,0,0,0,0,38011.0,0,0,0
104,095,Steinfurt  Tecklenburg,160705.0,134651.0,2809.0,131842.0,48585.0,0,0,0,30814.0,0,0,0,6027.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2842.0,0,0,0,0,0,0,0,43574.0,0,0,0
105,096,Beckum  Warendorf,120454.0,103503.0,2278.0,101225.0,42216.0,0,0,0,23388.0,0,0,0,3015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4115.0,0,0,0,0,0,0,0,28491.0,0,0,0
106,097,Münster-Stadt und -Land,128276.0,101336.0,1637.0,99699.0,34466.0,0,0,0,21509.0,0,0,0,8958.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433.0,0,0,0,0,0,0,0,32333.0,0,0,0
107,098,Lüdinghausen  Coesfeld,118311.0,103172.0,2208.0,100964.0,41816.0,0,0,0,21406.0,0,0,0,2431.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3833.0,0,0,0,0,0,0,0,31478.0,0,0,0
108,099,Gelsenkirchen,209576.0,162231.0,3785.0,158446.0,39535.0,0,0,0,57902.0,0,0,0,6920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24240.0,0,0,0,0,0,0,0,29849.0,0,0,0
