Bundestagswahl am 18. September 2005 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;Die Linke.;;NPD;;MLPD;;Die PARTEI;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

202;Beyenburger Freiheit 49;436;288;5;283;119;42,0;136;48,1;16;5,7;11;3,9;1;0,3;0;0,0;0;0,0;0;0,0;
203;Siegelberg 40;1.075;699;8;691;279;40,4;345;49,9;20;2,9;31;4,5;12;1,7;4;0,6;0;0,0;0;0,0;
204;Sondern 21;665;463;4;459;216;47,1;178;38,8;17;3,7;24;5,2;19;4,1;5;1,1;0;0,0;0;0,0;
205;Frielinghausen 34;650;444;6;438;169;38,6;204;46,6;17;3,9;27;6,2;16;3,6;5;1,1;0;0,0;0;0,0;
206;Engelbert-Wüster-Weg 29;1.267;826;14;812;369;45,4;310;38,2;44;5,4;44;5,4;33;4,1;12;1,5;0;0,0;0;0,0;
207;Linde 26;729;514;5;509;188;36,9;246;48,3;34;6,7;19;3,7;16;3,1;6;1,2;0;0,0;0;0,0;
208;Kratzkopfstr. 23;1.316;795;10;785;340;43,3;327;41,7;33;4,2;47;6,0;29;3,7;9;1,1;0;0,0;0;0,0;
209;Mohrhennsfeld 19;671;432;6;426;144;33,8;204;47,9;24;5,6;7;1,6;37;8,7;9;2,1;1;0,2;0;0,0;
210;Mohrhennsfeld 39;779;450;15;435;210;48,3;156;35,9;18;4,1;11;2,5;36;8,3;2;0,5;2;0,5;0;0,0;
211;Kratzkopfstr. 23;1.289;834;12;822;428;52,1;252;30,7;43;5,2;31;3,8;54;6,6;13;1,6;1;0,1;0;0,0;
212;Marktstr. 21;917;603;9;594;273;46,0;241;40,6;33;5,6;26;4,4;16;2,7;3;0,5;2;0,3;0;0,0;
213;Scheidtstr. 36;1.136;731;12;719;298;41,5;310;43,1;28;3,9;59;8,2;18;2,5;6;0,8;0;0,0;0;0,0;
214;An der Blutfinke 70;1.093;691;8;683;307;45,0;282;41,3;37;5,4;31;4,5;23;3,4;3;0,4;0;0,0;0;0,0;
215;Kurfürstenstr. 13;1.083;694;5;689;351;50,9;253;36,7;25;3,6;26;3,8;28;4,1;4;0,6;2;0,3;0;0,0;
