Bundestagswahl am 24. September 2017 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;GRÜNE;;DIE LINKE;;FDP;;AfD;;PIRATEN;;Die PARTEI;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

216;Remscheider Str. 50;1.160;683;9;674;237;35,2;229;34,0;37;5,5;41;6,1;63;9,3;57;8,5;0;0,0;10;1,5;0;0,0;
217;Schenkstr. 133;1.195;665;6;659;265;40,2;204;31,0;41;6,2;47;7,1;38;5,8;59;8,9;0;0,0;2;0,3;3;0,5;
218;Schenkstr. 135;1.079;666;12;654;232;35,5;203;31,0;42;6,4;42;6,4;44;6,7;83;12,7;0;0,0;8;1,2;0;0,0;
219;Echoer Str. 46;1.140;697;9;688;284;41,3;183;26,6;35;5,1;29;4,2;72;10,5;72;10,5;0;0,0;13;1,9;0;0,0;
220;Echoer Str. 46;952;623;4;619;243;39,3;168;27,1;55;8,9;34;5,5;67;10,8;40;6,5;0;0,0;12;1,9;0;0,0;
221;An der Blutfinke 70;1.217;767;4;763;298;39,1;204;26,7;53;7,0;53;7,0;70;9,2;80;10,5;0;0,0;5;0,7;0;0,0;
222;Herbringhausen 73;225;154;2;152;66;43,4;41;27,0;17;11,2;7;4,6;15;9,9;4;2,6;1;0,7;1;0,7;0;0,0;
40101;BW-Bezirk Elberfeld-Mitte;x;1.413;14;1.399;407;29,1;414;29,6;158;11,3;121;8,7;129;9,2;110;7,9;16;1,1;43;3,1;1;0,1;
40202;BW-Bezirk Hombüchel;x;1.107;7;1.100;242;22,0;336;30,6;173;15,7;165;15,0;69;6,3;50;4,5;20;1,8;44;4,0;1;0,1;
40303;BW-Bezirk Höchsten;x;819;6;813;177;21,8;234;28,8;124;15,2;130;16,0;56;6,9;48;5,9;8;1,0;31;3,8;5;0,6;
40404;BW-Bezirk Ostersbaum;x;925;15;910;254;27,9;283;31,1;89;9,8;80;8,8;70;7,7;96;10,6;8;0,9;28;3,1;2;0,2;
40505;BW-Bezirk Grifflenberg 1;x;994;3;991;418;42,2;237;23,9;86;8,7;64;6,5;117;11,8;53;5,3;3;0,3;13;1,3;0;0,0;
