Bundestagswahl am 22. September 2002 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;PDS;;GRAUE;;PBC;;Schill;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

43061;BW-Bezirk Oberbarmen;x;620;4;616;297;48,2;216;35,1;41;6,7;33;5,4;10;1,6;6;1,0;4;0,7;9;1,5;
43162;BW-Bezirk Wichlinghausen-Süd;x;833;9;824;414;50,2;276;33,5;53;6,4;37;4,5;16;1,9;8;1,0;5;0,6;15;1,8;
43263;BW-Bezirk Wichlinghausen-Nord;x;982;13;969;501;51,7;314;32,4;85;8,8;40;4,1;12;1,2;9;0,9;5;0,5;3;0,3;
43364;BW-Bezirk Nächstebreck 1;x;681;5;676;268;39,6;306;45,3;47;7,0;32;4,7;8;1,2;5;0,7;2;0,3;8;1,2;
43464;BW-Bezirk Nächstebreck 2;x;720;6;714;291;40,8;326;45,7;42;5,9;38;5,3;7;1,0;3;0,4;5;0,7;2;0,3;
43571;BW-Bezirk Heckinghausen-West 1;x;812;9;803;382;47,6;304;37,9;65;8,1;36;4,5;8;1,0;2;0,2;1;0,1;5;0,6;
43671;BW-Bezirk Heckinghausen-West 2;x;740;12;728;306;42,0;321;44,1;53;7,3;34;4,7;7;1,0;6;0,8;1;0,1;0;0,0;
43772;BW-Bezirk Heckinghausen-Ost;x;941;6;935;452;48,3;320;34,2;80;8,6;39;4,2;16;1,7;14;1,5;7;0,8;7;0,8;
43881;BW-Bezirk Langerfeld-Nord;x;991;11;980;516;52,6;314;32,0;68;6,9;38;3,9;9;0,9;18;1,8;1;0,1;16;1,6;
43982;BW-Bezirk Langerfeld-Süd/Beyenburg 1;x;788;12;776;349;45,0;310;40,0;59;7,6;37;4,8;11;1,4;4;0,5;2;0,3;4;0,5;
44082;BW-Bezirk Langerfeld-Süd/Beyenburg 2;x;919;8;911;374;41,0;389;42,7;62;6,8;59;6,5;15;1,6;2;0,2;2;0,2;8;0,9;
44191;BW-Bezirk Ronsdorf-Ost;x;1.112;7;1.105;435;39,4;492;44,5;89;8,1;61;5,5;7;0,6;4;0,4;2;0,2;15;1,4;
44292;BW-Bezirk Ronsdorf-West 1;x;735;5;730;305;41,8;310;42,5;52;7,1;39;5,3;10;1,4;8;1,1;2;0,3;4;0,6;
44392;BW-Bezirk Ronsdorf-West 2;x;718;5;713;259;36,3;326;45,7;67;9,4;47;6,6;6;0,8;2;0,3;3;0,4;3;0,4;
Ingesamt;;258.070;201.138;2.425;198.713;97.775;49,2;68.243;34,3;14.340;7,2;11.836;6,0;3.464;1,7;1.189;0,6;639;0,3;1.227;0,6;
