Bundestagswahl am 3. Oktober 1976 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;AVP;;DKP;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

19;Elfenhang 4;1.005;824;5;819;395;48,2;292;35,6;129;15,8;0;0,0;1;0,1;2;0,2;
20;Rottscheidter Str. 6;792;634;1;633;251;39,6;278;43,9;97;15,3;0;0,0;5;0,8;2;0,3;
21;Brucher Str. 10;847;697;4;693;314;45,3;262;37,8;105;15,2;0;0,0;6;0,9;6;0,9;
22;Brucher Str. 10;784;627;2;625;244;39,0;289;46,2;86;13,8;0;0,0;3;0,5;3;0,5;
23;Blücherstr. 19;1.139;943;4;939;449;47,8;328;34,9;150;16,0;0;0,0;7;0,8;5;0,5;
24;Yorckstr. 28;952;778;3;775;363;46,8;293;37,8;114;14,7;0;0,0;4;0,5;1;0,1;
25;Mackensenstr. 50;969;714;5;709;206;29,1;368;51,9;129;18,2;0;0,0;2;0,3;4;0,6;
26;Blücherstr. 19;1.158;921;6;915;459;50,2;310;33,9;140;15,3;0;0,0;2;0,2;4;0,4;
27;Yorckstr. 28;1.186;919;4;915;428;46,8;350;38,2;132;14,4;0;0,0;3;0,3;2;0,2;
28;Alte Dorfstr. 24;948;753;4;749;383;51,1;273;36,5;91;12,2;0;0,0;1;0,1;1;0,1;
29;Alte Dorfstr. 24;967;742;10;732;335;45,8;302;41,3;91;12,4;0;0,0;1;0,1;3;0,4;
30;Alte Dorfstr. 24;1.070;876;3;873;385;44,1;347;39,8;137;15,7;0;0,0;3;0,3;1;0,1;
31;Sillerstr. 13;810;675;4;671;385;57,4;176;26,2;107;15,9;0;0,0;2;0,3;1;0,1;
32;Varresbecker Str. 55;751;610;3;607;258;42,5;247;40,7;92;15,2;0;0,0;7;1,1;3;0,5;
33;Düsseldorfer Str. 27;967;782;7;775;430;55,5;233;30,1;104;13,4;0;0,0;4;0,5;4;0,5;
34;Düsseldorfer Str. 35;949;786;4;782;394;50,4;271;34,6;109;13,9;0;0,0;7;0,9;1;0,1;
35;Funckstr. 94;640;490;1;489;156;31,9;256;52,4;74;15,1;0;0,0;0;0,0;3;0,6;
36;Kyffhäuser Str. 98;711;605;3;602;310;51,5;174;28,9;116;19,3;0;0,0;2;0,3;0;0,0;
37;Kyffhäuser Str. 98;803;701;2;699;350;50,1;198;28,3;148;21,2;0;0,0;2;0,3;1;0,1;
38;Nützenberger Str. 242;844;689;8;681;335;49,2;224;32,9;114;16,7;0;0,0;8;1,2;0;0,0;
39;Nützenberger Str. 288;405;246;1;245;161;65,7;56;22,9;27;11,0;0;0,0;0;0,0;1;0,4;
40;Nützenberger Str. 288;802;578;2;576;188;32,6;280;48,6;105;18,2;0;0,0;2;0,3;1;0,2;
41;Friedrich-Ebert-Str. 238;585;399;1;398;240;60,3;113;28,4;42;10,6;0;0,0;1;0,2;2;0,5;
