Bundestagswahl am 27. September 1998 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;GRAUE;;REP;;Dicke, Einzelbewerber;;Klett, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

21;Neue Friedrichstr. 19;1.156;735;17;718;419;58,4;194;27,0;14;1,9;65;9,1;7;1,0;1;0,1;11;1,5;6;0,8;1;0,1;
22;Friedrichschulstr. 15;1.059;655;18;637;325;51,0;207;32,5;35;5,5;48;7,5;11;1,7;2;0,3;6;0,9;2;0,3;1;0,2;
23;Markomannenstr. 39;1.054;688;13;675;389;57,6;186;27,6;17;2,5;44;6,5;19;2,8;0;0,0;17;2,5;1;0,1;2;0,3;
24;Wiesenstr. 105;1.019;644;8;636;386;60,7;140;22,0;13;2,0;66;10,4;14;2,2;6;0,9;8;1,3;3;0,5;0;0,0;
25;Opphofer Str. 47;851;598;4;594;410;69,0;132;22,2;10;1,7;16;2,7;11;1,9;5;0,8;8;1,4;2;0,3;0;0,0;
26;Am Engelnberg 16;1.150;765;16;749;483;64,5;152;20,3;20;2,7;46;6,1;12;1,6;5;0,7;28;3,7;2;0,3;1;0,1;
27;Am Engelnberg 16;972;640;7;633;372;58,8;183;28,9;22;3,5;36;5,7;4;0,6;3;0,5;12;1,9;1;0,2;0;0,0;
28;Am Engelnberg 16;944;653;8;645;399;61,9;164;25,4;21;3,3;26;4,0;9;1,4;1;0,2;23;3,6;2;0,3;0;0,0;
29;Else-Lasker-Schüler-Str. 30;877;496;5;491;288;58,7;135;27,5;19;3,9;29;5,9;11;2,2;2;0,4;7;1,4;0;0,0;0;0,0;
30;Else-Lasker-Schüler-Str. 30;906;575;9;566;306;54,1;173;30,6;24;4,2;32;5,7;12;2,1;4;0,7;10;1,8;2;0,3;3;0,5;
31;Platz der Republik 41;996;641;13;628;403;64,2;123;19,6;10;1,6;48;7,6;17;2,7;4;0,6;19;3,0;3;0,5;1;0,2;
32;Opphofer Str. 47;702;438;5;433;295;68,1;79;18,2;10;2,3;28;6,5;5;1,1;1;0,2;13;3,0;2;0,5;0;0,0;
33;Blankstr. 5;897;519;18;501;272;54,3;190;37,9;17;3,4;11;2,2;6;1,2;0;0,0;4;0,8;1;0,2;0;0,0;
34;Fuhlrottstr. 10;1.038;668;5;663;306;46,1;255;38,5;29;4,4;48;7,2;7;1,1;3;0,5;12;1,8;1;0,1;2;0,3;
35;Fuhlrottstr. 10;936;592;2;590;218;37,0;291;49,3;33;5,6;39;6,6;3;0,5;0;0,0;5;0,8;1;0,2;0;0,0;
36;Cronenberger Str. 375;903;647;6;641;320;49,9;248;38,7;31;4,8;28;4,4;7;1,1;1;0,2;4;0,6;1;0,2;1;0,2;
37;Cronenberger Str. 375;1.029;711;14;697;359;51,5;263;37,7;23;3,3;37;5,3;6;0,9;1;0,1;6;0,9;1;0,1;1;0,1;
38;Pfalzgrafenstr. 32;977;530;7;523;309;59,1;146;27,9;11;2,1;37;7,1;10;1,9;1;0,2;9;1,7;0;0,0;0;0,0;
39;Fuhlrottstr. 10;1.072;695;7;688;335;48,7;255;37,1;30;4,4;42;6,1;6;0,9;4;0,6;13;1,9;2;0,3;1;0,1;
40;Reichsgrafenstr. 26;906;562;4;558;287;51,4;202;36,2;22;3,9;29;5,2;7;1,2;3;0,5;8;1,4;0;0,0;0;0,0;
41;Distelbeck 9;835;522;7;515;299;58,1;137;26,6;17;3,3;29;5,6;13;2,5;1;0,2;15;2,9;1;0,2;3;0,6;
42;Johannisberg 20;1.017;628;14;614;358;58,3;186;30,3;16;2,6;26;4,2;11;1,8;3;0,5;12;1,9;2;0,3;0;0,0;
43;Reichsgrafenstr. 26;1.128;746;11;735;465;63,3;201;27,4;12;1,6;26;3,5;13;1,8;2;0,3;13;1,8;2;0,3;1;0,1;
44;Reichsgrafenstr. 38;1.092;756;23;733;420;57,3;220;30,0;30;4,1;33;4,5;10;1,4;2;0,3;16;2,2;1;0,1;1;0,1;
45;Reichsgrafenstr. 38;1.132;724;9;715;456;63,8;175;24,5;21;2,9;35;4,9;8;1,1;9;1,3;8;1,1;1;0,1;2;0,3;
46;Pfalzgrafenstr. 14;1.113;701;10;691;400;57,9;194;28,1;22;3,2;38;5,5;13;1,9;3;0,4;20;2,9;0;0,0;1;0,1;
47;Jung-Stilling-Weg 45;1.263;882;13;869;458;52,7;298;34,3;36;4,1;41;4,7;13;1,5;3;0,3;19;2,2;0;0,0;1;0,1;
48;Neviandtstr. 87;1.190;719;28;691;425;61,5;184;26,6;21;3,0;35;5,1;10;1,4;2;0,3;13;1,9;0;0,0;1;0,1;
49;Bayreuther Str. 35;1.020;639;6;633;327;51,7;215;34,0;20;3,2;50;7,9;9;1,4;2;0,3;7;1,1;3;0,5;0;0,0;
50;Funckstr. 37;879;609;7;602;292;48,5;216;35,9;39;6,5;39;6,5;7;1,2;1;0,2;5;0,8;0;0,0;3;0,5;
51;Bismarckstr. 90;1.139;749;5;744;284;38,2;335;45,0;41;5,5;55;7,4;9;1,2;2;0,3;2;0,3;8;1,1;8;1,1;
