Bundestagswahl am 5. Oktober 1980 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;Bürgerpartei;;DKP;;DIE GRÜNEN;;KBW;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

44;Distelbeck 7;1.142;565;4;561;209;37,2;239;42,6;100;17,8;0;0,0;1;0,2;12;2,1;0;0,0;
45;Fuhlrottstr. 10;910;636;4;632;198;31,3;294;46,5;122;19,3;1;0,2;1;0,2;14;2,2;2;0,3;
46;Fuhlrottstr. 10;819;523;1;522;126;24,1;307;58,8;74;14,2;1;0,2;0;0,0;14;2,7;0;0,0;
47;Fuhlrottstr. 10;1.419;997;4;993;404;40,7;385;38,8;185;18,6;0;0,0;1;0,1;18;1,8;0;0,0;
48;Reichsgrafenstr. 26;878;623;0;623;239;38,4;234;37,6;137;22,0;1;0,2;0;0,0;12;1,9;0;0,0;
49;Fuhlrottstr. 10;596;410;5;405;171;42,2;176;43,5;47;11,6;0;0,0;0;0,0;11;2,7;0;0,0;
50;Reichsgrafenstr. 34;915;612;10;602;272;45,2;235;39,0;82;13,6;1;0,2;2;0,3;9;1,5;1;0,2;
51;Cronenberger Str. 375;984;741;2;739;230;31,1;353;47,8;140;18,9;5;0,7;2;0,3;9;1,2;0;0,0;
52;Cronenberger Str. 375;792;602;4;598;222;37,1;268;44,8;95;15,9;0;0,0;3;0,5;10;1,7;0;0,0;
53;Jung-Stilling-Weg 45;1.085;813;5;808;358;44,3;268;33,2;159;19,7;2;0,2;4;0,5;16;2,0;1;0,1;
54;Königshöher Weg 7;575;424;3;421;238;56,5;109;25,9;65;15,4;0;0,0;2;0,5;7;1,7;0;0,0;
55;Neviandtstr. 87;801;452;10;442;222;50,2;156;35,3;60;13,6;0;0,0;2;0,5;2;0,5;0;0,0;
56;Pfalzgrafenstr. 32;1.046;757;8;749;358;47,8;231;30,8;134;17,9;0;0,0;1;0,1;24;3,2;1;0,1;
57;Pfalzgrafenstr. 32;940;655;5;650;358;55,1;192;29,5;88;13,5;1;0,1;1;0,1;10;1,5;0;0,0;
58;Reichsgrafenstr. 34;1.004;684;4;680;352;51,8;225;33,1;93;13,7;0;0,0;0;0,0;10;1,5;0;0,0;
59;Reichsgrafenstr. 34;1.074;823;3;820;387;47,2;310;37,8;117;14,3;1;0,1;0;0,0;5;0,6;0;0,0;
60;Johannisberg 20;963;710;2;708;321;45,3;246;34,8;129;18,2;1;0,1;2;0,3;9;1,3;0;0,0;
61;Reichsgrafenstr. 26;900;634;4;630;319;50,6;211;33,5;92;14,6;1;0,2;0;0,0;7;1,1;0;0,0;
62;Reichsgrafenstr. 34;825;616;7;609;290;47,6;216;35,5;89;14,6;1;0,2;4;0,7;9;1,5;0;0,0;
63;Simonsstr. 34;736;545;5;540;294;54,4;159;29,4;65;12,0;2;0,4;6;1,1;13;2,4;1;0,2;
64;Bundesallee 30;849;591;5;586;244;41,6;227;38,7;96;16,4;0;0,0;6;1,0;13;2,2;0;0,0;
65;Simonsstr. 34;730;495;8;487;292;60,0;130;26,7;46;9,4;0;0,0;11;2,3;7;1,4;1;0,2;
66;Simonsstr. 34;317;200;2;198;87;43,9;69;34,9;27;13,6;0;0,0;5;2,5;10;5,0;0;0,0;
67;Briller Str. 2;573;419;5;414;193;46,6;144;34,8;64;15,5;0;0,0;3;0,7;9;2,2;1;0,2;
68;Viktoriastr. 21;911;641;7;634;268;42,3;251;39,6;98;15,5;0;0,0;3;0,5;14;2,2;0;0,0;
69;Bismarckstr. 90;963;652;6;646;188;29,1;302;46,8;129;20,0;1;0,1;10;1,6;16;2,5;0;0,0;
70;Bayreuther Str. 35;1.077;772;2;770;320;41,6;289;37,5;135;17,5;0;0,0;3;0,4;23;3,0;0;0,0;
71;Funckstr. 37;956;733;7;726;273;37,6;306;42,1;125;17,2;1;0,1;6;0,8;15;2,1;0;0,0;
72;Kyffhäuser Str. 98;843;678;4;674;379;56,2;174;25,8;115;17,1;0;0,0;1;0,1;5;0,7;0;0,0;
73;Kyffhäuser Str. 98;775;643;1;642;368;57,3;172;26,8;92;14,3;0;0,0;1;0,2;9;1,4;0;0,0;
74;Nützenberger Str. 288;799;539;4;535;197;36,8;243;45,4;79;14,8;0;0,0;2;0,4;14;2,6;0;0,0;
75;Nützenberger Str. 242;1.165;862;6;856;445;52,0;256;29,9;133;15,5;0;0,0;3;0,3;19;2,2;0;0,0;
76;Vogelsaue 5;651;424;4;420;249;59,3;117;27,9;39;9,3;1;0,2;2;0,5;10;2,4;2;0,5;
