Bundestagswahl am 27. September 2009 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;DIE LINKE;;NPD;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

42;Kyffhäuser Str. 86;1.350;784;5;779;331;42,5;264;33,9;66;8,5;32;4,1;78;10,0;8;1,0;0;0,0;
43;Stockmannsmühle 23;727;407;6;401;172;42,9;143;35,7;19;4,7;31;7,7;31;7,7;3;0,8;2;0,5;
44;Nützenberger Str. 242;1.194;566;5;561;210;37,4;155;27,6;34;6,1;57;10,2;94;16,8;9;1,6;2;0,4;
45;Donarstr. 2;1.211;691;7;684;266;38,9;197;28,8;65;9,5;63;9,2;79;11,6;13;1,9;1;0,1;
46;Donarstr. 2;1.252;757;8;749;262;35,0;287;38,3;46;6,1;88;11,8;54;7,2;11;1,5;1;0,1;
47;Lüntenbecker Weg 42;1.242;773;5;768;270;35,2;308;40,1;71;9,2;41;5,3;59;7,7;17;2,2;2;0,3;
48;Krummacherstr. 10;1.284;766;13;753;257;34,1;269;35,7;69;9,2;56;7,4;88;11,7;13;1,7;1;0,1;
49;Deutscher Ring 11;1.241;617;7;610;238;39,0;190;31,1;49;8,0;47;7,7;66;10,8;19;3,1;1;0,2;
50;Sillerstr. 13;1.359;732;9;723;305;42,2;223;30,8;59;8,2;38;5,3;82;11,3;15;2,1;1;0,1;
51;Garterlaie 29;1.162;585;9;576;190;33,0;210;36,5;48;8,3;45;7,8;63;10,9;16;2,8;4;0,7;
52;Unten Vorm Steeg 1;1.043;625;2;623;211;33,9;269;43,2;58;9,3;48;7,7;30;4,8;6;1,0;1;0,2;
53;Höhenstr. 25;1.508;1.019;12;1.007;338;33,6;449;44,6;87;8,6;83;8,2;40;4,0;10;1,0;0;0,0;
54;Höhenstr. 25;1.316;841;5;836;281;33,6;351;42,0;65;7,8;78;9,3;51;6,1;9;1,1;1;0,1;
55;Höhenstr. 56;1.359;909;10;899;274;30,5;426;47,4;98;10,9;60;6,7;34;3,8;6;0,7;1;0,1;
56;Kurt-Schumacher-Str. 130;873;502;2;500;165;33,0;217;43,4;41;8,2;41;8,2;30;6,0;6;1,2;0;0,0;
57;Kurt-Schumacher-Str. 130;1.014;502;5;497;185;37,2;192;38,6;39;7,8;42;8,4;32;6,4;6;1,2;1;0,2;
58;Uellendahler Str. 540;1.106;675;10;665;232;34,9;262;39,4;57;8,6;45;6,8;55;8,3;9;1,4;5;0,8;
59;Röttgen 110 ;1.024;548;6;542;196;36,2;188;34,7;52;9,6;25;4,6;71;13,1;10;1,9;0;0,0;
60;Röttgen 110 ;669;374;6;368;126;34,2;156;42,4;28;7,6;30;8,2;27;7,3;0;0,0;1;0,3;
61;Röttgen 110 ;1.301;667;7;660;205;31,1;293;44,4;60;9,1;43;6,5;43;6,5;15;2,3;1;0,1;
62;Uellendahler Str. 400;790;450;7;443;149;33,6;154;34,8;42;9,5;34;7,7;55;12,4;9;2,0;0;0,0;
